"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","時価総額(百万円)"
"3612","ワールド","東P","2374","-26.0(-1.08%)","2,374.0","81,644"
"3626","ＴＩＳ","東P","3929.0","+165.0(+4.38%)","3,929.0","928,161"
"3632","グリーＨＬＤＧ","東P","564","+3.0(+0.53%)","564.0","101,379"
"3635","コーエーテクモＨＬＤＧ","東P","2081.0","+18.0(+0.87%)","2,081.0","699,418"
"3636","三菱総合研究所","東P","4870","-105.0(-2.11%)","4,870.0","78,134"
"3649","ファインデックス","東P","752","+7.0(+0.94%)","752.0","20,010"
"3655","ブレインパッド","東P","1322","+12.0(+0.92%)","1,322.0","29,481"
"3656","ＫＬａｂ","東P","160","+1.0(+0.63%)","160.0","7,968"
"3657","ポールトゥウィンＨＬＤＧ","東P","456","+4.0(+0.88%)","456.0","17,399"
"3659","ネクソン","東P","2058.0","+10.5(+0.51%)","2,058.0","1,733,749"
"3660","アイスタイル","東P","515","+2.0(+0.39%)","515.0","41,954"
"3661","エムアップＨＬＤＧ","東P","1624","-40.0(-2.40%)","1,624.0","59,270"
"3662","エイチーム","東P","913","-8.0(-0.87%)","913.0","18,068"
"3663","セルシス","東P","1304","+10.0(+0.77%)","1,304.0","47,298"
"3665","エニグモ","東P","337","+0.0(+0.00%)","337.0","14,370"
"3668","コロプラ","東P","487","-20.0(-3.94%)","487.0","63,422"
"3673","ブロードリーフ","東P","666","+11.0(+1.68%)","666.0","65,199"
"3675","クロス・マーケティンググループ","東P","689","+18.0(+2.68%)","689.0","13,760"
"3676","デジタルハーツＨＬＤＧ","東P","1066","-43.0(-3.88%)","1,066.0","25,468"
"3678","メディアドゥ","東P","1722","+13.0(+0.76%)","1,722.0","26,128"
"3679","じげん","東P","444","-2.0(-0.45%)","444.0","49,595"
"3681","ブイキューブ","東P","243","+11.0(+4.74%)","243.0","6,402"
"3687","フィックスターズ","東P","1922","-41.0(-2.09%)","1,922.0","64,646"
"3688","ＣＡＲＴＡ　ＨＬＤＧ","東P","1470","-26.0(-1.74%)","1,470.0","37,192"
"3694","オプティム","東P","701","-47.0(-6.28%)","701.0","38,694"
"3696","セレス","東P","2860","-69.0(-2.36%)","2,860.0","34,562"
"3697","ＳＨＩＦＴ","東P","1393.0","-29.0(-2.04%)","1,393.0","372,628"
"3708","特種東海製紙","東P","3710","-5.0(-0.13%)","3,710.0","48,230"
"3738","ティーガイア","東P","2659","+0.0(+0.00%)","2,659.0","149,101"
"3741","セック","東P","5340","+20.0(+0.38%)","5,340.0","27,341"
"3762","テクマトリックス","東P","2238","-47.0(-2.06%)","2,238.0","99,632"
"3763","プロシップ","東P","1597","+43.0(+2.77%)","1,597.0","25,026"
"3765","ガンホー・オンライン","東P","3052.0","-44.0(-1.42%)","3,052.0","253,809"
"3769","ＧＭＯペイメントゲートウェイ","東P","8120.0","+109.0(+1.36%)","8,120.0","621,647"
"3771","システムリサーチ","東P","1679","-9.0(-0.53%)","1,679.0","28,073"
"3774","インターネットイニシアティブ","東P","2650.0","-46.0(-1.71%)","2,650.0","485,440"
"3778","さくらインターネット","東P","4435","-35.0(-0.78%)","4,435.0","185,785"
"3788","ＧＭＯグローバルサイン・ＨＬＤ","東P","2278","-33.0(-1.43%)","2,278.0","26,637"
"3817","ＳＲＡ　ＨＬＤＧ","東P","4300","+0.0(+0.00%)","4,300.0","65,532"
"3834","朝日ネット","東P","681","+9.0(+1.34%)","681.0","21,792"
"3835","ｅＢＡＳＥ","東P","597","+7.0(+1.19%)","597.0","28,157"
"3836","アバントグループ","東P","1928","+10.0(+0.52%)","1,928.0","72,581"
"3837","アドソル日進","東P","2160","+100.0(+4.85%)","2,160.0","20,293"
"3843","フリービット","東P","1571","-7.0(-0.44%)","1,571.0","36,783"
"3844","コムチュア","東P","1985","+6.0(+0.30%)","1,985.0","64,000"
"3853","アステリア","東P","598","-1.0(-0.17%)","598.0","10,460"
"3854","アイル","東P","2421","-110.0(-4.35%)","2,421.0","60,628"
"3861","王子ＨＬＤＧ","東P","630.3","+20.5(+3.36%)","630.3","639,365"
"3863","日本製紙","東P","1029","+30.0(+3.00%)","1,029.0","119,626"
"3864","三菱製紙","東P","641","-6.0(-0.93%)","641.0","28,679"
"3865","北越コーポレーション","東P","1471","-14.0(-0.94%)","1,471.0","276,626"
"3877","中越パルプ工業","東P","1459","-3.0(-0.21%)","1,459.0","19,484"
"3880","大王製紙","東P","837","+2.0(+0.24%)","837.0","141,464"
"3901","マークラインズ","東P","2386","-10.0(-0.42%)","2,386.0","31,564"
"3902","メディカル・データ・ビジョン","東P","444","-6.0(-1.33%)","444.0","17,772"
